"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","640","285",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","2286","526",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1718","394",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","1761","514",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1918","735",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","2188","853",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","1621","463",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","1561","361",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","1593","422",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","921","265",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","2675","1066",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","1385","358",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","1154","287",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","993","336",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","1147","363",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","3053","643",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","921","295",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1689","305",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","1429","606",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","1080","210",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","1880","350",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","1251","294",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","722","302",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","1889","742",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","923","756",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","2410","609",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","1141","337",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","1525","521",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","2037","307",
"1500000US170310107021","Block Group 1, Census Tract 107.02, Cook County, Illinois","1869","564",
"1500000US170310107022","Block Group 2, Census Tract 107.02, Cook County, Illinois","1198","601",
"1500000US170310107023","Block Group 3, Census Tract 107.02, Cook County, Illinois","1324","421",
"1500000US170310107024","Block Group 4, Census Tract 107.02, Cook County, Illinois","818","715",
"1500000US170310201001","Block Group 1, Census Tract 201, Cook County, Illinois","1980","398",
"1500000US170310201002","Block Group 2, Census Tract 201, Cook County, Illinois","1762","572",
"1500000US170310202001","Block Group 1, Census Tract 202, Cook County, Illinois","1300","335",
"1500000US170310202002","Block Group 2, Census Tract 202, Cook County, Illinois","1689","663",
"1500000US170310202003","Block Group 3, Census Tract 202, Cook County, Illinois","1957","546",
"1500000US170310202004","Block Group 4, Census Tract 202, Cook County, Illinois","2034","886",
"1500000US170310203011","Block Group 1, Census Tract 203.01, Cook County, Illinois","1759","400",
"1500000US170310203012","Block Group 2, Census Tract 203.01, Cook County, Illinois","1728","581",
"1500000US170310203013","Block Group 3, Census Tract 203.01, Cook County, Illinois","1960","434",
"1500000US170310203021","Block Group 1, Census Tract 203.02, Cook County, Illinois","1203","353",
"1500000US170310203022","Block Group 2, Census Tract 203.02, Cook County, Illinois","1456","852",
"1500000US170310203023","Block Group 3, Census Tract 203.02, Cook County, Illinois","2457","468",
"1500000US170310204001","Block Group 1, Census Tract 204, Cook County, Illinois","942","448",
"1500000US170310204002","Block Group 2, Census Tract 204, Cook County, Illinois","1058","230",
"1500000US170310204003","Block Group 3, Census Tract 204, Cook County, Illinois","2011","437",
"1500000US170310205001","Block Group 1, Census Tract 205, Cook County, Illinois","2791","834",
"1500000US170310205002","Block Group 2, Census Tract 205, Cook County, Illinois","1604","898",
"1500000US170310205003","Block Group 3, Census Tract 205, Cook County, Illinois","1635","463",
"1500000US170310205004","Block Group 4, Census Tract 205, Cook County, Illinois","714","319",
"1500000US170310206011","Block Group 1, Census Tract 206.01, Cook County, Illinois","1586","451",
"1500000US170310206012","Block Group 2, Census Tract 206.01, Cook County, Illinois","3836","1169",
"1500000US170310206013","Block Group 3, Census Tract 206.01, Cook County, Illinois","690","262",
"1500000US170310206021","Block Group 1, Census Tract 206.02, Cook County, Illinois","1359","537",
"1500000US170310206022","Block Group 2, Census Tract 206.02, Cook County, Illinois","915","493",
"1500000US170310206023","Block Group 3, Census Tract 206.02, Cook County, Illinois","1438","583",
"1500000US170310206024","Block Group 4, Census Tract 206.02, Cook County, Illinois","1527","1098",
"1500000US170310207011","Block Group 1, Census Tract 207.01, Cook County, Illinois","964","179",
"1500000US170310207012","Block Group 2, Census Tract 207.01, Cook County, Illinois","800","135",
"1500000US170310207021","Block Group 1, Census Tract 207.02, Cook County, Illinois","1772","672",
"1500000US170310207022","Block Group 2, Census Tract 207.02, Cook County, Illinois","2924","923",
"1500000US170310207023","Block Group 3, Census Tract 207.02, Cook County, Illinois","2144","1166",
"1500000US170310207024","Block Group 4, Census Tract 207.02, Cook County, Illinois","1834","1505",
"1500000US170310208011","Block Group 1, Census Tract 208.01, Cook County, Illinois","1333","443",
"1500000US170310208012","Block Group 2, Census Tract 208.01, Cook County, Illinois","1141","783",
"1500000US170310208013","Block Group 3, Census Tract 208.01, Cook County, Illinois","1229","507",
"1500000US170310208014","Block Group 4, Census Tract 208.01, Cook County, Illinois","2156","608",
"1500000US170310208021","Block Group 1, Census Tract 208.02, Cook County, Illinois","1042","419",
"1500000US170310208022","Block Group 2, Census Tract 208.02, Cook County, Illinois","2271","969",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","3962","1190",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","1261","536",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","2175","530",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","1318","475",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","2601","687",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","2542","510",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","1903","498",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","1033","398",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","684","243",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","1191","364",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","883","198",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","964","267",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","1004","178",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","1224","612",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","1409","214",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","1081","153",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","2727","399",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","698","130",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","1328","476",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","1433","379",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","1058","344",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","2044","1041",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","1541","337",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","2181","609",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","1322","236",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","1284","439",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","1783","486",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","1542","381",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","1921","597",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","1624","375",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","1777","894",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","831","222",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","1373","325",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","922","194",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","1433","216",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","1157","267",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","1382","299",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","728","186",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","1528","179",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","1007","228",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","1345","356",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","882","214",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","627","202",
