"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310207021","Block Group 1, Census Tract 207.02, Cook County, Illinois","589","174","161","76","428","176",
"1500000US170310207022","Block Group 2, Census Tract 207.02, Cook County, Illinois","782","194","272","137","510","204",
"1500000US170310207023","Block Group 3, Census Tract 207.02, Cook County, Illinois","590","156","240","139","350","131",
"1500000US170310207024","Block Group 4, Census Tract 207.02, Cook County, Illinois","421","234","265","221","156","74",
"1500000US170310208011","Block Group 1, Census Tract 208.01, Cook County, Illinois","583","160","314","116","269","119",
"1500000US170310208012","Block Group 2, Census Tract 208.01, Cook County, Illinois","415","220","273","107","142","204",
"1500000US170310208013","Block Group 3, Census Tract 208.01, Cook County, Illinois","425","171","115","71","310","163",
"1500000US170310208014","Block Group 4, Census Tract 208.01, Cook County, Illinois","772","226","231","108","541","226",
"1500000US170310208021","Block Group 1, Census Tract 208.02, Cook County, Illinois","326","112","177","86","149","99",
"1500000US170310208022","Block Group 2, Census Tract 208.02, Cook County, Illinois","588","181","230","99","358","167",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","847","202","68","63","779","218",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","405","147","212","114","193","108",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","827","271","379","230","448","169",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","416","131","82","43","334","133",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","944","246","355","193","589","175",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","924","157","472","84","452","154",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","667","153","317","73","350","153",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","435","132","7","12","428","133",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","441","141","120","69","321","143",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","551","140","43","44","508","136",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","529","133","409","130","120","73",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","556","92","391","82","165","78",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","737","112","10","16","727","113",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","529","164","238","131","291","95",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","394","97","111","59","283","78",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","566","94","179","57","387","73",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","694","104","341","85","353","115",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","314","72","8","12","306","70",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","663","141","242","84","421","137",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","613","108","299","72","314","87",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","390","121","262","78","128","97",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","831","265","290","112","541","264",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","661","124","205","97","456","93",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","836","194","237","92","599","186",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","713","84","221","61","492","95",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","506","126","231","77","275","103",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","724","185","408","164","316","119",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","747","184","321","96","426","157",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","692","171","346","144","346","118",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","770","146","430","135","340","128",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","672","202","15","25","657","198",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","445","99","122","78","323","87",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","729","180","317","129","412","148",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","542","106","74","35","468","111",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","901","106","73","52","828","112",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","690","137","91","51","599","130",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","868","137","479","104","389","137",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","500","133","20","22","480","133",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","835","85","190","58","645","88",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","604","108","377","82","227","80",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","874","188","486","108","388","180",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","551","145","146","57","405","154",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","417","106","6","12","411","107",
"1500000US170310307033","Block Group 3, Census Tract 307.03, Cook County, Illinois","923","184","310","68","613","176",
"1500000US170310307061","Block Group 1, Census Tract 307.06, Cook County, Illinois","1375","220","524","170","851","195",
"1500000US170310307062","Block Group 2, Census Tract 307.06, Cook County, Illinois","507","156","175","134","332","94",
"1500000US170310308001","Block Group 1, Census Tract 308, Cook County, Illinois","581","144","88","58","493","150",
"1500000US170310308002","Block Group 2, Census Tract 308, Cook County, Illinois","490","141","298","115","192","121",
"1500000US170310308003","Block Group 3, Census Tract 308, Cook County, Illinois","560","125","236","76","324","126",
"1500000US170310308004","Block Group 4, Census Tract 308, Cook County, Illinois","466","140","216","89","250","115",
"1500000US170310309001","Block Group 1, Census Tract 309, Cook County, Illinois","203","69","65","36","138","73",
"1500000US170310309002","Block Group 2, Census Tract 309, Cook County, Illinois","542","118","188","69","354","116",
"1500000US170310309003","Block Group 3, Census Tract 309, Cook County, Illinois","446","154","197","67","249","141",
"1500000US170310309004","Block Group 4, Census Tract 309, Cook County, Illinois","277","75","202","69","75","32",
"1500000US170310310001","Block Group 1, Census Tract 310, Cook County, Illinois","427","85","207","64","220","76",
"1500000US170310310002","Block Group 2, Census Tract 310, Cook County, Illinois","667","138","347","120","320","92",
"1500000US170310310003","Block Group 3, Census Tract 310, Cook County, Illinois","962","229","256","87","706","227",
"1500000US170310311001","Block Group 1, Census Tract 311, Cook County, Illinois","753","221","189","101","564","197",
"1500000US170310311002","Block Group 2, Census Tract 311, Cook County, Illinois","754","216","59","54","695","214",
"1500000US170310311003","Block Group 3, Census Tract 311, Cook County, Illinois","917","172","119","68","798","162",
"1500000US170310312001","Block Group 1, Census Tract 312, Cook County, Illinois","556","156","290","125","266","106",
"1500000US170310312002","Block Group 2, Census Tract 312, Cook County, Illinois","847","387","58","56","789","376",
"1500000US170310312003","Block Group 3, Census Tract 312, Cook County, Illinois","885","346","46","57","839","340",
"1500000US170310312004","Block Group 4, Census Tract 312, Cook County, Illinois","871","286","254","196","617","234",
"1500000US170310313001","Block Group 1, Census Tract 313, Cook County, Illinois","564","145","214","120","350","130",
"1500000US170310313002","Block Group 2, Census Tract 313, Cook County, Illinois","952","203","311","111","641","201",
"1500000US170310313003","Block Group 3, Census Tract 313, Cook County, Illinois","370","167","88","66","282","161",
"1500000US170310313004","Block Group 4, Census Tract 313, Cook County, Illinois","1551","359","494","272","1057","254",
"1500000US170310313005","Block Group 5, Census Tract 313, Cook County, Illinois","997","168","418","118","579","150",
"1500000US170310314001","Block Group 1, Census Tract 314, Cook County, Illinois","700","164","376","121","324","126",
"1500000US170310314002","Block Group 2, Census Tract 314, Cook County, Illinois","387","105","284","104","103","57",
"1500000US170310314003","Block Group 3, Census Tract 314, Cook County, Illinois","588","131","268","110","320","140",
"1500000US170310314004","Block Group 4, Census Tract 314, Cook County, Illinois","736","136","311","83","425","121",
"1500000US170310314005","Block Group 5, Census Tract 314, Cook County, Illinois","631","199","317","107","314","224",
"1500000US170310315011","Block Group 1, Census Tract 315.01, Cook County, Illinois","478","103","66","45","412","96",
"1500000US170310315012","Block Group 2, Census Tract 315.01, Cook County, Illinois","969","170","321","88","648","140",
"1500000US170310315013","Block Group 3, Census Tract 315.01, Cook County, Illinois","412","118","26","33","386","119",
"1500000US170310315021","Block Group 1, Census Tract 315.02, Cook County, Illinois","712","180","193","86","519","179",
"1500000US170310315022","Block Group 2, Census Tract 315.02, Cook County, Illinois","662","146","91","40","571","147",
"1500000US170310315023","Block Group 3, Census Tract 315.02, Cook County, Illinois","985","177","65","43","920","180",
"1500000US170310317001","Block Group 1, Census Tract 317, Cook County, Illinois","1112","279","541","239","571","163",
"1500000US170310317002","Block Group 2, Census Tract 317, Cook County, Illinois","838","187","338","146","500","149",
"1500000US170310317003","Block Group 3, Census Tract 317, Cook County, Illinois","803","125","262","83","541","114",
"1500000US170310317004","Block Group 4, Census Tract 317, Cook County, Illinois","680","145","324","116","356","149",
"1500000US170310318001","Block Group 1, Census Tract 318, Cook County, Illinois","972","108","395","90","577","77",
"1500000US170310319001","Block Group 1, Census Tract 319, Cook County, Illinois","655","121","175","60","480","119",
"1500000US170310319002","Block Group 2, Census Tract 319, Cook County, Illinois","660","173","297","86","363","161",
"1500000US170310321001","Block Group 1, Census Tract 321, Cook County, Illinois","816","253","245","132","571","222",
"1500000US170310321002","Block Group 2, Census Tract 321, Cook County, Illinois","455","144","132","108","323","144",
"1500000US170310321003","Block Group 3, Census Tract 321, Cook County, Illinois","838","271","120","98","718","283",
"1500000US170310321004","Block Group 4, Census Tract 321, Cook County, Illinois","1155","417","314","340","841","267",
"1500000US170310321005","Block Group 5, Census Tract 321, Cook County, Illinois","731","212","435","220","296","184",
"1500000US170310401001","Block Group 1, Census Tract 401, Cook County, Illinois","574","139","202","56","372","136",
"1500000US170310401002","Block Group 2, Census Tract 401, Cook County, Illinois","829","139","331","60","498","137",
"1500000US170310401003","Block Group 3, Census Tract 401, Cook County, Illinois","344","78","294","65","50","47",
"1500000US170310402011","Block Group 1, Census Tract 402.01, Cook County, Illinois","602","154","375","135","227","111",
"1500000US170310402012","Block Group 2, Census Tract 402.01, Cook County, Illinois","750","239","199","120","551","221",
"1500000US170310402013","Block Group 3, Census Tract 402.01, Cook County, Illinois","725","146","231","100","494","162",
"1500000US170310402014","Block Group 4, Census Tract 402.01, Cook County, Illinois","976","223","382","216","594","130",
"1500000US170310402021","Block Group 1, Census Tract 402.02, Cook County, Illinois","298","100","129","51","169","87",
