"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","50583","14293",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","48050","30622",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","41197","5986",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","44000","16778",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","53882","22260",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","36806","6042",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","52054","10166",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","34712","22529",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","45889","25129",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","36975","9655",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","95982","32197",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","57639","9349",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","40216","9111",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","59045","7283",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","81481","29395",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","51818","4653",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","41804","12563",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","34118","22437",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","62784","20633",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","69732","19316",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","156810","52259",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","74053","34291",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","54821","15911",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","47835","11063",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","46292","12098",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","84875","20765",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","111433","33321",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","101307","28543",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","110457","53462",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","86944","14851",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","45735","14601",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","31607","28627",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","37470","15662",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","38913","10261",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","44150","5537",
