"GEO_ID","NAME","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M",
"1500000US170318221023","Block Group 3, Census Tract 8221.02, Cook County, Illinois","1146","381","3","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","3","4","0","12","0","12","0","12","3","4","1143","381","852","371","661","361","661","361","0","12","191","223","61","70","61","70","0","12","130","212","130","212","0","12","291","164","219","106","147","106","72","93","72","89",
"1500000US170318221024","Block Group 4, Census Tract 8221.02, Cook County, Illinois","737","310","101","104","31","47","0","12","0","12","0","12","31","47","0","12","0","12","0","12","31","47","31","47","0","12","70","94","70","94","70","94","0","12","0","12","636","319","508","311","391","319","391","319","0","12","117","90","0","12","0","12","0","12","117","90","117","90","0","12","128","65","128","65","128","65","0","12","0","12",
"1500000US170318222001","Block Group 1, Census Tract 8222, Cook County, Illinois","1512","422","314","299","302","299","17","27","17","27","0","12","285","297","160","258","160","258","0","12","125","156","125","156","0","12","12","17","12","17","12","17","0","12","0","12","1198","282","1085","278","1012","275","1012","275","0","12","73","80","40","62","40","62","0","12","33","47","33","47","0","12","113","93","105","90","96","89","9","14","8","13",
"1500000US170318222002","Block Group 2, Census Tract 8222, Cook County, Illinois","749","240","66","97","57","94","52","94","52","94","0","12","5","11","0","12","0","12","0","12","5","11","0","12","5","11","9","15","9","15","9","15","0","12","0","12","683","223","517","210","401","200","401","200","0","12","116","80","55","58","45","48","10","15","61","58","61","58","0","12","166","165","86","60","54","40","32","46","80","115",
"1500000US170318222003","Block Group 3, Census Tract 8222, Cook County, Illinois","1313","330","86","102","77","102","77","102","77","102","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","0","12","0","12","0","12","9","14","1227","317","1157","320","1046","321","1046","321","0","12","111","84","0","12","0","12","0","12","111","84","111","84","0","12","70","41","61","36","53","35","8","12","9","14",
"1500000US170318223011","Block Group 1, Census Tract 8223.01, Cook County, Illinois","1234","282","148","131","139","135","139","135","137","134","2","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","0","12","0","12","9","15","1086","314","1054","313","950","324","947","323","3","7","104","111","45","52","38","44","7","13","59","92","59","92","0","12","32","30","32","30","23","27","9","14","0","12",
"1500000US170318223012","Block Group 2, Census Tract 8223.01, Cook County, Illinois","608","228","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","608","228","552","242","552","242","552","242","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","56","40","48","31","40","27","8","14","8","14",
"1500000US170318223013","Block Group 3, Census Tract 8223.01, Cook County, Illinois","467","207","116","117","105","118","105","118","105","118","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","6","15","6","15","0","12","5","11","351","183","346","180","289","176","289","176","0","12","57","62","0","12","0","12","0","12","57","62","57","62","0","12","5","13","5","13","1","6","4","10","0","12",
"1500000US170318223014","Block Group 4, Census Tract 8223.01, Cook County, Illinois","925","205","209","146","146","132","146","132","146","132","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","63","60","63","60","63","60","0","12","0","12","716","218","679","216","473","181","473","181","0","12","206","184","70","79","70","79","0","12","136","157","136","157","0","12","37","33","37","33","37","33","0","12","0","12",
"1500000US170318223021","Block Group 1, Census Tract 8223.02, Cook County, Illinois","1292","451","207","167","151","169","151","169","151","169","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","56","33","56","33","56","33","0","12","0","12","1085","416","978","418","638","320","638","320","0","12","340","305","254","298","254","298","0","12","86","82","86","82","0","12","107","69","92","53","79","47","13","24","15","26",
"1500000US170318223022","Block Group 2, Census Tract 8223.02, Cook County, Illinois","694","209","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","694","209","463","198","257","145","257","145","0","12","206","147","94","122","87","118","7","12","112","74","112","74","0","12","231","129","219","126","209","126","10","17","12","18",
"1500000US170318223023","Block Group 3, Census Tract 8223.02, Cook County, Illinois","1003","260","49","64","42","64","0","12","0","12","0","12","42","64","0","12","0","12","0","12","42","64","0","12","42","64","7","10","7","10","7","10","0","12","0","12","954","241","881","245","767","248","767","248","0","12","114","118","0","12","0","12","0","12","114","118","114","118","0","12","73","40","73","40","73","40","0","12","0","12",
"1500000US170318223024","Block Group 4, Census Tract 8223.02, Cook County, Illinois","1135","627","138","109","80","100","46","80","46","80","0","12","34","57","34","57","34","57","0","12","0","12","0","12","0","12","58","49","58","49","58","49","0","12","0","12","997","628","882","626","760","636","760","636","0","12","122","102","101","96","101","96","0","12","21","33","21","33","0","12","115","89","115","89","115","89","0","12","0","12",
"1500000US170318224001","Block Group 1, Census Tract 8224, Cook County, Illinois","1662","556","581","435","569","435","422","397","422","397","0","12","147","218","147","218","147","218","0","12","0","12","0","12","0","12","12","6","0","12","0","12","0","12","12","6","1081","446","981","447","712","436","712","436","0","12","269","215","83","94","32","53","51","56","186","184","186","184","0","12","100","103","86","98","75","97","11","19","14","18",
"1500000US170318224002","Block Group 2, Census Tract 8224, Cook County, Illinois","1783","497","169","118","163","118","0","12","0","12","0","12","163","118","163","118","75","114","88","93","0","12","0","12","0","12","6","10","6","10","6","10","0","12","0","12","1614","463","1475","485","835","326","835","326","0","12","640","431","456","414","456","414","0","12","184","178","184","178","0","12","139","103","139","103","139","103","0","12","0","12",
"1500000US170318224003","Block Group 3, Census Tract 8224, Cook County, Illinois","2317","720","771","449","716","444","452","306","452","306","0","12","264","316","212","310","171","271","41","46","52","65","30","54","22","34","55","68","55","68","55","68","0","12","0","12","1546","634","1446","650","1274","660","1255","653","19","31","172","156","75","100","75","100","0","12","97","111","97","111","0","12","100","70","100","70","100","70","0","12","0","12",
"1500000US170318224004","Block Group 4, Census Tract 8224, Cook County, Illinois","452","258","109","113","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","109","113","5","10","5","10","0","12","104","114","343","182","233","152","189","147","189","147","0","12","44","61","30","57","30","57","0","12","14","27","14","27","0","12","110","115","110","115","26","28","84","112","0","12",
"1500000US170318225001","Block Group 1, Census Tract 8225, Cook County, Illinois","1243","281","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1243","281","1100","293","883","240","883","240","0","12","217","179","0","12","0","12","0","12","217","179","202","171","15","23","143","98","106","69","70","58","36","42","37","42",
