skater_90,pct_white_,pct_black_,pct_asian_,pct_hispan,median_hh_,poverty_ra,pct_ba_plu,unemployme,pct_owner,pct_renter
0,44.35462376665025,1.6268482539785662,3.1093785665905505,49.899276312183225,77780.3,9.02276874322449,17.01628344269375,3.3114843966652523,77.62709428206936,22.372905717930628
1,34.09289278008134,57.987144198183714,1.4125010910567757,3.952119322743447,103243.66666666667,5.635323924147288,47.29647018772038,4.879251029023158,84.62937296293687,15.370627037063132
2,45.832665410577405,4.799853945150534,21.870791466245898,21.385613101853124,60041.555555555555,17.155948019797066,45.162781784362764,4.428566969730517,42.53390858119193,57.46609141880807
3,80.72507634328882,2.90288539015458,5.081128702041259,7.943514938410777,189678.9090909091,4.984406320126258,87.32691691109633,2.411198761687049,61.721928638837696,38.2780713611623
4,57.04552046227467,3.5406873677721604,12.254625919079432,24.240801701705447,83448.73175542406,7.721726725430588,44.04031340393716,3.0002488279744073,64.49132402326155,35.50867597673845
5,29.86327692076495,50.23046608222745,1.1296092463490106,16.33159859414369,55540.996062992126,16.011595350599887,22.365048610841555,7.05518464546841,66.92821895666852,33.07178104333149
6,84.75567143682852,2.881620431341046,3.1808588446060253,7.795845321484989,114082.76923076923,6.253174393437584,40.611918788747886,2.9785599392020825,85.65410171046337,14.345898289536638
7,27.828142882743638,46.90328354594871,2.8492225383063414,18.514080290271583,53940.40909090909,19.359953249254716,24.91918518396975,9.259602763212255,64.19895914910784,35.80104085089218
8,75.4658575022097,3.209124915680209,1.7297700227345996,15.664422570207183,93616.4705882353,8.440458902577369,30.391552045257722,2.772934249697606,86.56494495254154,13.435055047458471
9,41.718541206891345,6.190626399734471,1.7090462474224346,49.432586088493835,55190.43243243243,13.311618905634706,18.00923055144364,4.794983738422956,66.88089831951493,33.119101680485066
10,4.353272158868508,35.92670623734289,1.6013434746487627,57.0504603554955,40488.551155115514,24.458678256180953,10.29842162729621,7.984105993813298,42.77278327874268,57.22721672125732
11,49.67879402224843,1.1919493016831775,0.3612106316088892,48.003199071801276,95850.75,4.888895057984081,24.50547811117373,3.131956166414834,89.43497185698529,10.565028143014711
12,11.115237459609894,40.84539432531795,1.3439663495643155,45.01912388206558,48787.688888888886,15.968593124224071,14.44206900827569,4.536835735576195,52.92165852750249,47.07834147249751
13,26.900692266929415,2.8724527480083113,3.329132678234299,64.0331765692039,59338.596774193546,13.567156185480721,26.998713251460757,4.0350450383006695,48.93418217771274,51.06581782228726
14,75.25566035276435,2.679694395866747,6.868459851142863,11.139047024031427,146024.48684210525,6.435394805018227,81.26520618443332,2.413310111344893,52.15972959542394,47.84027040457606
15,56.34984048558451,12.843563803646957,4.18878886748568,22.965685869594264,94337.59090909091,12.339559367953989,64.92139482851115,2.260339764056549,41.03068592815441,58.96931407184559
16,32.375493235472646,8.536892667007837,2.916265781186791,53.81627294446814,66231.94339622642,14.783695756734556,39.65602601211273,3.6800427668235667,34.76278578082249,65.2372142191775
17,73.27122459316224,5.140845034137039,8.318763648459013,10.32287321352688,69287.86842105263,10.879045205588744,81.82377655893951,2.923440444317568,28.596448406908536,71.40355159309146
18,5.932089503627466,82.70995809313894,0.9261169527086054,7.899886017833773,24558.25,43.554545639080864,16.89599445757686,11.018013192659588,22.574620685946964,77.42537931405303
19,12.202706098252959,62.61379891529101,0.20424327620291774,24.157510480946378,55486.27906976744,15.858137260089382,17.677304726022847,7.576394071929169,65.15354939255242,34.84645060744758
20,3.2340631216613964,85.5899477653709,0.5409926258968794,8.656226142095292,36184.31055900621,30.573877329725203,19.964576793523534,11.115413650641043,38.73872748145245,61.26127251854755
21,41.48201366022272,22.893320351679304,1.6409765250992117,31.915205360362727,73492.17721518988,10.494600934212755,23.218931056427444,4.85429041371465,83.69531693121542,16.304683068784588
22,2.2496941903172583,92.55882157660601,0.8402245985141936,2.5476657434113,47687.17647058824,19.953424455942354,32.08693154658033,8.126402291413783,35.16761421555967,64.83238578444033
23,42.65755181227745,23.251000351370614,8.32150547556824,20.85021522165063,67205.41176470589,13.042590908899822,48.7160911772616,3.4237496737779676,44.420357532357166,55.579642467642834
24,76.61910652565801,1.4646109056635153,8.357751138508632,10.567919103982325,104221.9574468085,6.252890039628609,48.434470510169554,2.872184773271008,84.31770976929847,15.682290230701527
25,64.40201471534402,4.634513771132511,1.3291973045903303,28.1231920814779,75808.29268292683,7.848554316382757,34.01770352639151,2.7314835242873263,72.58893262777406,27.411067372225943
26,35.93656867035843,20.584427819840144,2.7832954648213644,39.523270228413516,62273.5,10.770658250926841,18.849204453496544,3.772304461125203,66.37443231854117,33.625567681458826
27,47.325267403139954,1.46782615013456,6.011564482473271,43.38301373642057,79763.91304347826,7.814901190521039,30.137686274235385,3.3529758208112463,67.88985087982364,32.11014912017636
28,53.96766439229651,3.9054561165775046,5.339996502381787,33.05369179539007,92960.64705882352,8.274625809494772,62.65630599869208,2.2181632450384243,41.4097024690593,58.5902975309407
29,25.791559296562657,11.382995685767053,25.314798786381758,35.86815816374077,57799.01369863014,18.35027048935641,38.91997981364793,4.74149450791711,38.70110864889533,61.29889135110468
30,45.09562051991962,5.938821363250171,21.176900854222733,25.71517816765796,75361.92307692308,12.097867355323967,32.29133625776898,5.2915064526131586,54.82945665973626,45.17054334026374
31,3.1027944373822427,86.49826043933314,0.6121810365036433,7.859782815816549,25026.59139784946,38.26942026777438,16.07761417752942,11.325292840738634,23.335720921107445,76.66427907889255
32,66.27451065496518,1.5136270583437401,22.126462029447328,7.126941126335666,115922.2,3.1632141669047322,49.842833451910934,2.597875226970708,86.50183430512952,13.49816569487048
33,84.1656978058851,0.9762278866138626,7.088016666725312,5.883601329348474,115669.02272727272,3.068557990142382,59.83885326912301,3.0635693995886157,85.96284100587962,14.037158994120375
34,76.65948490824256,10.052912579138921,2.3355348296966785,10.162228187956757,59927.57894736842,6.927184229054857,30.751207949856422,4.102856930328311,71.48747667954517,28.51252332045484
35,83.55769851532925,3.020857521638855,3.0099467375449542,9.487546026407582,87583.45454545454,8.045565203721246,37.0074470825216,2.8223381183237577,88.56552723508733,11.434472764912668
36,10.664665747042566,63.82461045590249,15.716709862553424,4.6577970874547185,60752.78571428572,23.20592295381132,48.00339421984622,6.224430075270895,35.53197615746189,64.4680238425381
37,45.039767876720894,20.186268803509776,12.407655406732436,18.91707950074509,47314.61111111111,21.26275215670535,47.86336245020085,3.933071306810359,27.380429080963086,72.6195709190369
38,52.16256382648151,6.358938152387694,28.023851907113475,9.768804528754577,71071.48235294118,9.580005585229989,44.097354730231714,3.2845483146223065,71.29148638439945,28.708513615600552
39,80.86668723532107,3.1507321472947383,5.491615499817881,8.94752111590014,105625.0,4.276296664395141,45.22703905783149,2.298684300569099,91.61877126394411,8.38122873605589
40,45.12457439710661,23.06124143066669,15.666031140786204,12.680060459036754,40682.0,30.568142409047844,47.56613869226336,2.498244316253488,23.034221015530928,76.96577898446908
41,29.20363891894207,52.58254193110656,7.966242495239042,4.734853127268623,64000.825,20.379516406447006,64.03113021503454,5.303618175344382,38.30482614824616,61.69517385175385
42,64.7247220589841,1.0691616069826857,23.230996676186006,7.309679960284678,115564.46666666666,4.47337597712555,49.98246651876399,1.5623618864801472,89.98776117292122,10.012238827078777
43,78.61678758579183,0.7425734044133891,15.436844110434238,3.232085055036309,165792.26315789475,2.761956406295049,71.68554417369722,1.6973927238090267,90.3935562869005,9.6064437130995
44,88.8624150029826,0.7851614891666908,3.921524745514925,4.532791977145161,169039.76923076922,2.5965074075818846,74.87093123529144,1.6990808558779205,95.30229775788871,4.697702242111287
45,59.839550175686256,24.40321048415652,3.464653250577233,10.203645666464185,92484.52,3.8826457248521105,34.62261168424714,3.8810600337304395,88.90585776221346,11.094142237786548
46,13.655572232396434,77.03580841321404,0.28330698214936534,6.92588229895853,84938.96,8.705770432051501,27.71811685963265,4.6634119224445785,84.57411207685338,15.425887923146615
47,73.47866720735382,0.5316117556823493,13.65872465793116,10.811734483889696,116839.66666666667,4.066066404791337,66.57449553766561,1.5655326675995387,78.73025364171552,21.269746358284475
48,54.42260372969648,17.314523262220195,7.653410589481828,15.850450126069527,91342.1,8.15110213835735,67.31689178088644,4.2156821773800335,35.98762903729995,64.01237096270003
49,68.20707734726106,6.166666956267749,12.645105107376102,8.903639505954347,154201.7142857143,6.309630767654563,85.09318859226987,2.4328169009234015,45.387466420254704,54.612533579745296
50,61.47616114066327,3.0607589117028504,25.46700486840537,7.507097718514707,150825.66666666666,7.710908907588155,86.85993338807567,3.153774456158732,47.98119803669538,52.01880196330462
51,58.6830282944654,13.875580651110203,8.248806158912325,13.76474819483458,112738.66666666667,6.028277272212176,68.5220667138325,4.123678702154527,67.66379283205757,32.33620716794243
52,68.84218897562216,22.003871124603442,0.46984528546121435,5.862465145257604,147113.7,5.3107134768151045,67.15712262512093,3.862149506310262,93.91890282290899,6.081097177091008
53,88.99978398363231,0.42718635632092283,5.7674020415611045,2.5977123000015476,200653.5,1.9190431166454032,87.76695226536094,1.1838369204919488,90.2888563358439,9.711143664156085
54,17.801138240001617,3.422094726321305,1.9019656631459292,76.44925144704435,64455.142857142855,9.49426149986438,14.974728330279193,6.058698436900238,74.56413498350449,25.43586501649551
55,0.5342872635446317,96.45495518316122,0.32608695652173914,1.4492437173349841,33459.142857142855,28.97598365550028,13.171517528668861,9.444287807271465,36.93571076217357,63.06428923782643
56,1.1425929236259103,95.59009307446544,0.2250221893913482,1.8088864861352796,55348.625,16.565717810417603,24.307500884359964,9.401570188097436,62.607518507003014,37.392481492996986
57,61.87158765837587,12.302932134533487,8.444323434374756,14.2967012510867,59951.625,16.22446645974457,63.25731223389863,2.5249798957448157,32.02122099213279,67.9787790078672
58,15.263305522914267,79.634551518967,0.9475284762699422,2.5189364712493414,81882.21428571429,7.660957839311367,39.04448882258654,4.769191896418308,84.3947405789232,15.605259421076799
59,85.83373983579828,1.6332115619598415,6.196697439071443,2.613717979350334,144463.5,4.495560865497097,83.36158742986638,2.148484074015672,77.93143294073109,22.06856705926891
60,74.07464667700636,0.990091814072665,18.007749806923325,3.693345464939298,134384.7142857143,4.20299211618901,78.23542144246802,1.8812249898844329,90.98963665678926,9.010363343210742
61,77.02288429142584,4.167202326244929,12.200214966883367,5.323303260732183,104206.18181818182,5.164050452930937,69.88344432635428,1.1139194873751155,86.4550256634248,13.544974336575187
62,82.16509531147624,0.5678129079959516,1.7770266119474323,11.76682414477941,113175.38461538461,2.7394551177421747,36.94989867579265,2.0948839332909666,91.62655590449228,8.373444095507729
63,73.76701863975369,7.017636429536151,2.2198375495881915,15.656502285080931,106006.45454545454,7.071270084008059,45.64900555686722,2.7595341746647053,82.88241404691577,17.11758595308422
