GEOID,neighbors
1162,"170310107024,170310107021,170310204002,170310102022,170310102012,170310201001,170310107011,170310107022,170310204001,170310102011"
1163,"170318306004,170310209021,170318306001,170318306002,170310302004,170310303001"
1164,"170318306004,170310106001,170310107023,170318306001,170318306003"
1165,"170310206022,170310205003,170310208024,170310209011,170310205004"
1166,"170310205003,170310209011,170310205001,170310205002"
1167,"170318080022,170310203012,170318076003,170310203013,170310202001"
1168,"170310301031,170310301032,170310301023,170310301011,170310302001,170310302002"
1169,"170313406001,170313514001,170318420002,170313515001"
1170,"170319900000,170310301023,170310301021,170310306013,170310301012"
1171,"170310305001,170310301011,170310306011,170310306032,170310302002,170310301013"
1172,"170310306043,170310306012,170310301011,170310306032,170310306013,170310301012,170310301013"
1173,"170310313004,170310313002,170310312004,170310313001,170310313005,170310307061"
1174,"170310313001,170310313004,170310313003"
1175,"170310312001,170310313004,170310312002,170310307061,170310313003,170310307031,170310312003,170310307032"
1176,"170310314005,170310312001,170310313004,170310315013,170318307002,170310315011,170318307003"
1177,"170318060013,170318020043,170318061043,170318060061,170318060011,170318020044,170318060012"
1178,"170318061042,170318016031,170318061043,170318016072,170318020041"
1179,"170318024043,170318024041,170318024042"
1180,"170318025032,170318025042,170318025043,170318025033,170318025044,170318024043,170318024031"
1181,"170318026055,170318026071,170318025051,170318030153,170318030141,170318026083"
1182,"170312520001,170312514001,170312514004,170312519002,170312519003,170312519001,170312515002,170312515003,170312514002,170312516003,170312518002"
1183,"170312604001,170312522021,170312605001,170318421005,170312522024,170312517001,170312518004"
1184,"170312522021,170312605001,170318421005,170312603001,170312517001,170312606001,170312518003"
1185,"170312521022,170312520002,170312520003,170312521023,170318314002,170312519004,170318126002,170312521021,170312521024,170318130001,170318130002,170318131001"
1186,"170312604001,170312522021,170312522023,170312610001,170312603001,170312606002,170312606001,170318314001,170312518003"
1187,"170312605001,170312610002,170312606002,170312607002,170318430002,170318314001"
1188,"170312604001,170312605001,170318421005,170312602001,170312607001,170312606001"
1189,"170316911001,170316909005,170316912002,170316910003,170316913002,170316910002,170316914005"
1190,"170317005013,170317104006,170317004011,170316720004,170317005014,170316610002,170316610003,170316610005,170316611002,170317001001,170317105004,170317005011,170317005012"
1191,"170317004012,170317002001,170317002004"
1192,"170311105021,170311103002,170311103003,170311104003,170311105014,170311105022,170311102001,170311102002,170311103001,170311104002"
1193,"170317005022,170317004011,170318216003,170318216002,170317004013,170317004022,170317004021,170317004014"
1194,"170317005015,170317004023,170317005021,170317005016,170317005014,170318216003,170318216002,170317004014"
1195,"170317005016,170317201002,170317113002,170317112004,170318216003,170317005022,170317005012"
1196,"170315604001,170315705002,170318208002,170319801001,170315607001,170316202002,170315603002,170315703004,170315607002,170316203006"
1197,"170318399003,170318399004,170318399005,170318397003,170318397001,170318397002,170318426001,170318404001,170318426002,170315907002,170318399001"
1198,"170318398002,170316009001,170318397003,170318398003,170318399002,170318398001,170318399001"
1199,"170318399005,170318400002,170313406001,170316108001,170318355001,170318399002,170318426004,170318426003,170318426002,170318355002"
1200,"170318426003,170318438001,170316108001,170318426002,170316122003,170318426001"
1201,"170318347001,170316121001,170318347003,170318346002,170318438001,170318356001,170318356002,170316122003"
1202,"170316305002,170316305003,170316116002,170318351003,170318350001,170318351002,170316306002,170316705001"
1203,"170318350002,170318350004,170318350005,170316606001,170318351003,170316607001,170318351001,170316714001,170316705001"
1204,"170310814032,170310814012,170310814021,170310814033"
1205,"170318208001,170315602002,170315604001,170315601001,170318208003,170315603002,170318208002"
1206,"170310402024,170310402012,170310403001,170310401001,170310401003,170310402011,170310402023,170310403002"
1207,"170316603024,170318350003,170316606003,170316603022,170316606005,170316606004,170316604002,170316605001"
1208,"170316709002,170316708002,170316716003,170316707002,170316715001,170316716001,170316712001,170318349002"
1209,"170316903002,170316813002,170316911001,170316911002,170316911003,170316812003"
1210,"170318130004,170318131004,170318126003,170318129001,170318127001,170318129002,170318130003"
1211,"170310802011,170310802023,170310802012,170310801004,170310801005,170310801006,170310802022"
1212,"170310810005,170310810004,170310810006,170310810003"
1213,"170310813005,170310813001,170310812011,170310813006,170310812021,170310812012"
1214,"170318390003,170313206002,170318391002,170318390001,170313204001"
1215,"170314101002,170314109002,170314109003"
1216,"170316103003,170316114003,170316115002"
1217,"170312831001,170312832001,170318329001,170318382002"
1218,"170318072004,170318071002,170318096003,170318076001,170318097003,170318072003"
1219,"170318069003,170318084001,170318070003,170318085003,170318085002,170318085004,170318086001,170318083012"
1220,"170318238064,170318238052,170318237032,170318238053,170318238062,170318238033,170318230011,170318238031,170318238032"
1221,"170318233033,170318233035,170318233021,170318233044,170318233023,170318234004,170318233045,170318233043"
1222,"170318240032,170318240033,170318240052,170318240053,170318240061"
1223,"170318279022,170318262021,170318262023,170318262024,170318279024,170318280002,170318280003,170318279021"
1224,"170312004012,170312004011,170318312003,170312305001,170311910002,170312004021,170312305002,170318313001"
1225,"170311913021,170311907023,170311906023,170311906022,170311912002"
1226,"170316004002,170313403001,170318400001,170318398002,170318401001,170316004001"
1227,"170310608004,170310608001,170310609006,170310609005,170310609004,170310618001,170318321001,170310609003,170310610001,170318320001"
1228,"170312407001,170312225001,170312408002,170312409001,170312410002"
1229,"170310203023,170310107012,170310107011,170310204001,170310204003"
1230,"170318030101,170318024041,170318030102,170318024031,170318025044,170318024043,170318024044,170318030131"
1231,"170318060061,170318061043,170318060021,170318060014,170318060062"
1232,"170318026093,170318026101,170318026092,170318025056,170318016031,170318016032"
1233,"170318036121,170318036114,170318036122,170318036113,170318036115"
1234,"170318051053,170318051054,170317702022,170318051061,170318051072,170318051062,170318051051,170317703001"
1235,"170318048044,170318048041,170318045101,170318045112,170318048062,170318048063,170318048073,170318045102,170318043092,170318048043"
1236,"170318045053,170318048042,170318045104,170318045111,170318045102,170318045052,170318048043"
1237,"170318051073,170318051116,170318051075,170318050023,170318051082,170318051114,170318051084"
1238,"170316604001,170316604004,170316605004,170316603022,170316606005,170316604003,170316605001,170316603011"
1239,"170319801001,170316202002,170316203004,170316203005,170318352001"
1240,"170318152003,170318152005,170318153003,170318153004,170318154001,170318154002"
1241,"170316007001,170318397001,170316009003,170316007002"
1242,"170316115002,170315807001,170316103003,170315806004,170318428004,170318428001"
1243,"170312520003,170312520004,170318125002,170312514004,170318125003,170318126002,170318126003,170318126004"
1244,"170318150002,170318151001,170318135004,170318140001,170318146002,170318135003"
1245,"170316502001,170316203003,170316203001,170316204003,170316204004,170316501004"
1246,"170310301041,170310301031,170310301032"
1247,"170310307033,170310312004,170310307031,170310312003,170310307061"
1248,"170310714003,170310713002,170310702002,170310712001,170310713001,170310701012,170310701032"
1249,"170311406023,170311407012,170311407023,170311406022,170311402003,170311403011"
1250,"170318018002,170318015003,170318018004,170318017022"
1251,"170318015002,170318017022,170318018003,170318016081,170318018004,170318019012,170318019011,170318019022"
1252,"170310307062,170310307021,170310307061"
1253,"170310608004,170310314004,170310609001,170318321001,170310609003,170318321003,170310321005,170310610001"
1254,"170310619011,170310609006,170310609002,170310619023,170310618001,170310609001"
1255,"170310630001,170310619014,170310632003,170310632005,170310621003,170310620001,170310631001"
1256,"170310633021,170310632006,170310632002,170310632001,170310633022,170310633012,170310633011"
1257,"170310634001,170310630001,170310629002,170310629001,170310630002,170310631001,170310634002"
1258,"170310701031,170310701021,170310701012,170310702002,170310702003"
1259,"170310321005,170318321002,170310608001,170310321003,170310314004,170318321001"
1260,"170318321002,170310610001,170310608001,170310609001,170310611001,170318321003"
1261,"170313819001,170313904002,170318361001,170318436002,170313903001,170318363001"
1262,"170314601002,170314604001,170314603022,170314603023,170314601003,170314601004,170314604002,170314604003"
1263,"170315501005,170315502001,170318388001,170315103003,170315401021,170315502002,170315401022,170315203004,170315001004,170315002002,170315003001,170315202002,170315501006,170315101002,170315102003,170315206001,170315103004"
1264,"170310701011,170310701032,170310702001,170310702003,170310701022,170310701023,170310701012,170310701013"
1265,"170318438002,170318346002,170318347001,170318348003,170318348001,170316121001,170318346001"
1266,"170315611003,170319801001,170315607001,170315608001,170316403004,170315611002"
1267,"170318192001,170318192002,170318208003,170318202022,170318202041,170318201031,170318201032,170318196003,170318203001,170318191001,170318201041,170318201042,170318195004,170318192004,170318206032,170318204001,170318194002,170318205011,170318194005,170318206031"
1268,"170315611005,170315608004,170315608005,170315609001,170316403006,170315610001,170316403003,170316404001"
1269,"170317203002,170317201001,170317201003,170317202003,170317203004,170317203003"
1270,"170318211023,170318211024,170318211011,170318211013,170318211021"
1271,"170316608003,170316608005,170316606005,170316606004,170316606003,170316609003"
1272,"170315602001,170318207004,170318144001,170315601001,170318145003,170318144003,170318143002,170318207002,170318155003,170318155002,170318208003,170318155005,170318142002,170318155006,170318144002"
1273,"170316814003,170317102003,170317102001,170317108001,170317108004"
1274,"170313005002,170313018031,170313017011,170313018032,170313017021,170313017022,170313018021,170313017012,170313018023"
1275,"170318136003,170318134005,170318134003,170318135001,170318135002,170318134002"
1276,"170318402001,170316006001,170316009001,170318397003,170318397001,170316009003"
1277,"170314206002,170314205002,170314003001,170318362001,170314204001,170314206001"
1278,"170312511003,170312512002,170312512003,170312515002,170312515003,170312516003"
1279,"170312909001,170312909002,170318387002,170318430002,170318387001"
1280,"170318165001,170318163001,170318163002,170318163004,170318164011"
1281,"170311706002,170318115001,170317709021,170317707001,170317709022,170318116001,170311705002,170318105011,170318105013,170318112001,170317708001,170317608032,170318111001,170317608011,170311705004,170311705003"
1282,"170310802023,170310803001,170310802012,170310715005,170310803004,170310802022,170310802013"
1283,"170318240051,170318240043,170318240031"
1284,"170314601001,170314603021,170314603022,170314601003,170314603024"
1285,"170318046073,170318046062,170318046072"
1286,"170318016012,170318024022,170318025061,170318016055,170318016073,170318016032,170318016065,170318016061,170318016062,170318016071,170318016064"
1287,"170318060062,170318061043,170318060022,170318060063,170318060023,170318060012"
1288,"170311502001,170311503006,170311503002,170311503005,170311503004,170311502002,170311502005"
1289,"170311510023,170311510011,170311510022,170311902001,170311510012,170311510024"
1290,"170312207022,170312104002,170312001002,170312002001,170311612002"
1291,"170312425001,170312411002,170312426001,170312426004,170312426003,170312409001"
1292,"170318103012,170318101005,170318103021,170318103023,170318101004,170318101003,170318103011"
1293,"170312309001,170312309003,170312308001,170318366002,170312409001"
1294,"170318069002,170318068014,170318068021,170318070001,170318068023"
1295,"170318307004,170310601001,170310319001,170310319002,170318307001,170310317003"
1296,"170310628003,170310627002,170310627003,170310623001,170310624001"
1297,"170318240031,170318240052,170318240042,170318240053"
1298,"170318253032,170318253031,170318253021,170318253022,170318254002"
1299,"170310321004,170318321002,170310608001,170310321003,170310314004,170318321003,170310314002"
1300,"170310633023,170310633024,170310633032,170310633031,170310632002,170310632001,170310633022,170310701013"
1301,"170310701031,170310714003,170310701021,170310713001,170310701032,170310701013"
1302,"170310715003,170310715002,170310715001,170310715004"
1303,"170318240031,170318240062,170318240033,170318240041,170318240061"
1304,"170318240031,170318240062,170318240032,170318240053,170318240052"
1305,"170315502001,170315501006,170318257003,170318258013,170318264012,170315401011,170315501003,170318257001,170318388002,170318257002,170315401021,170315501004,170315401022"
1306,"170318264025,170318258011,170318258013,170318265001,170315401011,170315502002,170318265002,170318264011,170318264021,170318264023,170318264024"
1307,"170317504003,170318234002,170318233042,170318234004,170318235001,170318235002"
1308,"170313817001,170318446001,170313814001,170318358001"
1309,"170318446001,170313814001,170313815001,170318361002,170318355002,170318356001,170318356002,170313818001"
1310,"170313819002,170313814001,170313812001,170313817001,170318361002,170313818002"
1311,"170313819002,170313818001,170318361001,170318361002"
1312,"170313819002,170313812002,170318436002,170318361001,170313812001,170318436001"
1313,"170313819001,170318361001,170313814001,170313812001,170313818001,170313818002"
1314,"170319900000,170313905001,170313902001,170313906001,170318364001,170313907001,170313907003"
1315,"170313901001,170313905001,170313906001,170318364001,170318364002,170313902002"
1316,"170313801001,170318360003,170318436002,170318364002,170318364003,170313903001,170313902002"
1317,"170313904002,170313905001,170313903001,170318363001,170313902002"
1318,"170314604002,170314604003,170314604004,170314605002,170314503003,170314605004"
1319,"170314605003,170314605002,170314605005,170314503003,170314503002,170314503001"
1320,"170314605001,170314605002,170314605006,170314503002,170314503001,170314605004"
1321,"170314605001,170314605002,170314605005,170314605007,170314503001"
1322,"170314312001,170314605001,170318342001,170318342003,170314605006,170314503001"
1323,"170315501005,170315205003,170315501004,170315501002,170315501003,170315205002"
1324,"170318257001,170315501001,170315501003,170315501004"
1325,"170315501004,170315502002,170315501001,170315501002,170318257001"
1326,"170316201002,170316202001,170315703002,170315704002,170316303002,170315705001,170318428004"
1327,"170316119002,170316120002,170316122002,170316122003"
1328,"170316201003,170316202001,170316303002,170316201001"
1329,"170316201002,170316202001,170316309003,170316204001,170316204004,170316303002,170316203001"
1330,"170316203004,170316204004,170315705001,170315705002,170316201001,170316201002,170316201003,170316202002,170316203003,170316203001"
1331,"170319801001,170316202001,170316203003,170316203004,170316203006,170318352001,170315705002"
1332,"170316502001,170316502004,170316203004,170316203005,170316202001,170316202002,170316203002,170316203001"
1333,"170312515003,170312516003,170312515004,170312515001,170312518002"
1334,"170312514001,170312512002,170312512003,170312512001,170312515002,170312513002,170312514002,170312515001,170312515004"
1335,"170312511003,170312516002,170312516003,170312510001,170312517001,170312511002"
1336,"170312516001,170312516003,170312517001,170312518005,170312518002"
1337,"170312511003,170312512002,170312515002,170312516001,170312516002,170312515001,170312515004,170312518002"
1338,"170312521023,170312605001,170312610001,170312522023,170318133011,170312522013,170318314002,170318133013,170318133022,170312522025,170312909004,170318430002"
1339,"170312601001,170312608001,170312603001,170312602001,170312606002,170312607002,170312606001"
1340,"170318275002,170318272003,170318273001"
1341,"170318239011,170318240041,170318241134,170318238013,170318238012,170318241051,170318241161,170318240061"
1342,"170312838002,170318411001,170313102001,170318419001,170313103001,170313302002,170318390002,170318432002,170318333001,170318390001,170313102002,170312838001"
1343,"170312838002,170318419001,170318333001,170318429001,170312832001,170318419002"
1344,"170318419002,170312838001,170318429001,170313103001,170313104001,170313106001"
1345,"170315501006,170315205003,170315501004,170315501001,170315206001,170318388002"
1346,"170315502002,170315501006,170318388002"
1347,"170315602001,170315602002,170315604001,170315702001,170315703004,170318305001,170315603001,170318142002,170318207001"
1348,"170316304004,170316306001,170316305003,170316304002,170316304003,170316305004"
1349,"170316202001,170316202002,170316203003,170316203005,170316203006"
1350,"170319801001,170316502004,170316502005,170316401001,170316203004,170316203003,170316203006"
1351,"170316201003,170316309003,170316309002,170316204002,170316204003,170316204004,170316303002"
1352,"170316309003,170316309002,170316204003,170316204004,170316501001,170316204001,170316501004"
1353,"170316502001,170316204001,170316204002,170316203001,170316204004,170316203002,170316501001,170316501004"
1354,"170316201003,170316202001,170316204001,170316204002,170316204003,170316203002,170316203001"
1355,"170316309003,170316304004,170316204001,170318428004,170316304003,170316201001,170316201002,170316201003,170316306001,170316303001,170316308001,170316309001"
1356,"170316304004,170316304001,170316305003,170316308001,170316304003,170318351004,170316305004"
1357,"170316304004,170316304001,170316303001,170316308001,170316309001,170316303002,170316304002"
1358,"170318431001,170318433001,170312718001,170318374002,170318373001,170318386001"
1359,"170318430001,170318431001,170318373001,170318415001,170312718001,170318386002"
1360,"170318373002,170318415001,170312705001,170318373001,170318386001,170312609001,170312912002,170318431001,170312912001,170318430002,170318387001,170312715001"
1361,"170313904001,170318361001,170318436002,170313903001,170318363001,170318436001"
1362,"170313901001,170313902001,170313904001,170314102001,170313906001,170313906002,170313902002,170313903001,170318363001,170318363002"
1363,"170313901001,170313902001,170313905001,170313906002,170313907002,170313907001"
1364,"170313905001,170313906001,170313907002,170314101001,170318363002,170314102001"
1365,"170313906001,170313906002,170314101001,170313907001,170314102001"
1366,"170313819001,170313819002,170314003001,170318436001,170313904002,170318361002,170318363001,170314105002,170313818002"
1367,"170314003001,170318346002,170314005001,170318361001,170318345001,170318356001,170318356002,170313817001,170313818001,170313818002"
1368,"170314801002,170314503003,170314804001,170314805003,170314804007"
1369,"170314801002,170314802002,170314503004,170314803001,170318343004,170314804007"
1370,"170315103002,170314801002,170314802002,170314804005,170314804006,170314804007,170314802001,170314804003,170314804004,170314701002"
1371,"170314804007,170314805001,170314801001,170314804002,170314805003,170314804006,170314804005"
1372,"170314804006,170314805002,170314805001,170314804001,170314804003,170314804004,170314804005"
1373,"170315103002,170314805002,170314805001,170315103001,170314803001,170314804002,170314804004"
1374,"170314803001,170314804002,170314804003,170314804005"
1375,"170314804006,170314803001,170314804001,170314804002,170314804004"
1376,"170318207001,170315602002,170315601001,170318208003"
1377,"170315602001,170318208001,170315604001,170315601001,170318208003,170315603001"
1378,"170315602002,170315601001,170315702001,170318352001,170315705002,170315603001,170315603002,170315703004"
1379,"170318048033,170318046111,170318048103,170318048104"
1380,"170318024043,170318025041,170318025043,170318025044"
1381,"170311909001,170311910001,170312003002,170312002002,170312002004"
1382,"170310207022,170310206023,170310206012,170310206024,170310206011,170310208023"
1383,"170318319001,170310626001,170310627003,170310512001,170310513001,170310624001,170310512002,170318319002,170310507001"
1384,"170318090002,170318090003,170318067003,170318067001,170318071003"
1385,"170310810005,170310817002,170310810002,170310816002,170310811002,170310818001"
1386,"170310314005,170310608004,170310608002,170310608001,170318321003,170310314003,170310608003,170310321005,170310314002"
1387,"170310402024,170310403001,170310402021,170310402022"
1388,"170318092001,170318092002,170318092004,170318096002,170318096003"
1389,"170310308003,170310401001,170310308001,170310309001,170310308002,170310309003"
1390,"170318278051,170318283002,170318282011,170318282021,170318287023,170318285055,170318278052,170318278053,170318279012"
1391,"170318278022,170318278013,170318278041,170318278051,170318278042,170318278011,170318278052"
1392,"170318083021,170318085001,170318069003,170318070003,170318073005,170318085003"
1393,"170310307033,170310307031,170310308004,170310309004,170310309002,170310308002,170310309003"
1394,"170310710001,170310711002,170318326003,170318325002,170318326002"
1395,"170310503002,170318437001,170310505005,170310505002,170310505003,170310502003"
1396,"170312425001,170312405001,170312406001,170312411002,170312412002,170312424001"
1397,"170312301001,170312302001,170312226001,170312211002,170312227002,170312212001"
1398,"170318288015,170318288021,170318288022,170318288023,170318288013"
1399,"170318247021,170318247023,170318249002,170318248004,170318247011,170318247013"
1400,"170318266005,170318267002,170318268004,170318215001"
1401,"170318231011,170318231012,170318231014,170318230012,170318231021"
1402,"170316501003,170316604003,170316604004,170316605004,170316503021,170316501001,170316501004"
1403,"170318304001,170318303003,170318304003,170318303002"
1404,"170318061042,170318061021,170318061043,170318060021,170318059012,170318060023,170318059011"
1405,"170318258012,170318264021,170318264023"
1406,"170318051115,170317703003,170317706021,170317704001,170318051074,170318051121,170317705001,170317706022,170319800001,170317704003"
1407,"170316501003,170316502001,170316204002,170316204003,170316502002,170316501002,170316203002,170316501001"
1408,"170317306001,170317302023,170317304003,170317302011,170317306002,170317304001,170317304002,170317302022"
1409,"170316715003,170316718001,170316719001,170316720001,170318349002,170316716001,170316716003,170318349001"
1410,"170315610006,170316404002,170315609006,170315610004,170315609004"
1411,"170317102003,170317102004,170317102005,170317107002,170317107001,170317108004,170317108006"
1412,"170310403002,170310402023,170310207012,170310402021,170310402022,170310208013,170310207011"
1413,"170310604003,170318319001,170318319002,170310506001,170310506002,170310507001,170310603001"
1414,"170312228001,170312301001,170312409001,170312309001,170312309003,170312227001,170312227002,170312303001"
1415,"170318255011,170318255013,170318255041,170318255042,170318255052,170318255054"
1416,"170318278021,170318278022,170318278041,170318262014,170318262011,170318279024,170318278053,170318279012"
1417,"170318304003,170318304004,170318303002,170318302022,170318304002"
1418,"170318115004,170318115003,170318114011,170318117012,170318117021,170318117022,170318117023,170318116002,170319800001"
1419,"170318281002,170318281003,170318280001,170318280002"
1420,"170318238052,170318238061,170318239011,170318238051,170318238013,170318238033,170318238062,170318239031"
1421,"170318235004,170318234002,170318212002,170318235002"
1422,"170317205001,170317403002,170317401001,170317401002,170317401004,170318233041,170317402003"
1423,"170318208003,170315609001,170315609003,170315610001,170315610002,170315610003"
1424,"170316903002,170316910001,170316910003,170316911001,170316910002,170316904002,170316904003"
1425,"170316709002,170316702001,170316708002,170316701002"
1426,"170318142002,170318142005,170318142003,170318143001,170318142001"
1427,"170317107002,170317106001,170317110001,170317107004,170317111001,170317108006"
1428,"170315806002,170315806003,170315807001,170315806004,170315807002"
1429,"170318221022,170318216002,170318217002,170318220004,170318220001,170318221021"
1430,"170316709002,170316810001,170318347002,170316805001,170316810004,170316709001,170316701001,170318349002,170318348001,170318348002"
1431,"170318139004,170318140001,170318140002,170318135002,170318139001,170318136003"
1432,"170316308004,170316309003,170316309002,170316604001,170316303002,170316304003,170316603022,170316308002,170316308003,170316308001"
1433,"170318195002,170318195003,170318195004,170318196002,170318197003"
1434,"170314914003,170314914002,170314913004,170314910001,170314909012,170314913002,170314913003"
1435,"170315806003,170315807001,170318428001,170318428002,170318428005,170315805022,170315807003,170315805023,170315808001"
1436,"170316117003,170316704001,170316705001,170316116001,170316116002,170316117001"
1437,"170313107001,170318429001,170313108002,170313109001"
1438,"170317114001,170317302013,170317302011,170317114002,170317110003,170317111002,170317302022"
1439,"170316201003,170316202001,170316203003,170316204003,170316204004,170316203002"
1440,"170312521023,170312521011,170312521021,170312522013,170312522012"
1441,"170318176001,170318176002,170318177003,170318177002,170318179002"
1442,"170314206002,170314207001,170314207004,170314208001,170314205001,170314204001"
1443,"170314401021,170314802001,170314803001,170314701002,170318343004,170318343005"
1444,"170318131003,170318131004,170318135005,170318135001,170318146001,170318314002,170318131001"
1445,"170311704003,170311708001,170311704002,170311708003,170311709001"
1446,"170317608021,170317707001,170317708002,170318116003,170318116001,170318116004"
1447,"170318063003,170318062022,170318063001,170318063002,170318064002,170318062023"
1448,"170318112004,170318113022,170318114015,170318112001,170318112002"
1449,"170318041064,170318041091,170318041081,170318040002,170318039012"
1450,"170311503005,170311502001,170311507001,170311503003,170311507004,170311508005,170311502003"
1451,"170318042023,170318047014,170318041051,170318042032,170318042031"
1452,"170318171013,170318171014,170318182004,170318183001,170318184011,170318184012,170318183003,170318168004,170318171012"
1453,"170318182002,170318180003,170318182004"
1454,"170316004002,170318402001,170318398003,170316009001,170318398002,170318397002"
1455,"170314208001,170314112002,170318344001,170318362001,170314202001,170318344002,170314204001"
1456,"170312513001,170312513002,170312513004,170312513005,170312514003,170312514001"
1457,"170314004001,170314003001,170318345001"
1458,"170312505006,170312505007,170318109002,170318109005,170318107022"
1459,"170318051055,170318051053,170318051052,170318051054,170318040002"
1460,"170318035003,170318035004,170318034005,170318035001,170318034006"
1461,"170311913021,170311904022,170311906022,170311906021,170311913022"
1462,"170311908004,170311907012,170311908002,170311907022,170311908001,170311902004,170311903004"
1463,"170317112004,170317104006,170317104003,170317112001,170317105004,170317105002"
1464,"170316703002,170316704001,170316118001,170316117001"
1465,"170316702001,170316805001,170316120002,170316112002,170316119001,170316120001,170316701001,170316701002,170316122002,170316122003"
1466,"170316910004,170316913001,170316909005,170316910001,170316910003,170316914005"
1467,"170318172002,170318172004,170318173001,170318171021"
1468,"170313905001,170313906002,170314107001,170314105001,170318363001,170314102001,170314106001"
1469,"170318056001,170318057011,170318057015,170318057021,170318057022,170318057013"
1470,"170318111004,170318111003,170318108001,170318110001,170318111001,170318107022,170318111002,170318110005"
1471,"170318051072,170318051092,170318051083,170318051093"
1472,"170312512004,170312512002,170312511004,170312516001,170312515001,170312516003,170312511001,170312511002"
1473,"170318028012,170318034001,170318034003"
1474,"170318047161,170318047152,170318047092,170318047101,170318047102"
1475,"170311702001,170311504021,170311505022,170311506001,170311504023,170311506004"
1476,"170318312001,170312004021,170312305001,170318312002,170312305002,170312304002"
1477,"170318411001,170318411004,170313301033,170318410001,170313302002,170313301031"
1478,"170318027021,170318027011,170318028022,170318028014,170318028015"
1479,"170316811001,170316811002,170316811004,170316811005,170316814001,170316814004,170316814002"
1480,"170317101001,170316814003,170317102002,170316813003,170317108001"
1481,"170318192004,170318193001,170318193002,170318194002,170318194003,170318192003"
1482,"170314911003,170314913001,170314912001,170314910001,170314913002,170314913003"
1483,"170318043051,170318043082,170318043064,170318043062,170318043091"
1484,"170311510011,170311902001,170311903001,170311510021,170311511002"
1485,"170312306004,170312306002,170312306006,170318421001,170318421004,170312306003"
1486,"170310605001,170318321002,170310610001,170310612001,170310615001,170318320001,170318321001"
1487,"170318072001,170318073001,170318074004,170318074003,170318074001"
1488,"170318118002,170318168003,170318169004,170318168002,170318167002,170318165002"
1489,"170314910004,170314907001,170314907002,170314908003,170314908004,170314909022"
1490,"170313404001,170313405001,170318392001,170318410001,170318411003,170318420002"
1491,"170312521022,170312521011,170312522011,170312522013,170312522012,170312521024"
1492,"170313107001,170313108003,170313109001,170313108001"
1493,"170318134006,170318135001,170318134001,170318134002,170318134004"
1494,"170316915001,170318418002,170316909001,170316909004,170316909003,170316914001,170318418001,170316914004"
1495,"170312505007,170318122004,170318109003,170318109005,170318119001"
1496,"170318059023,170318060051,170318060052,170318060023,170318060024,170318059011"
1497,"170318035004,170318033002,170318035002,170318033001,170318035005,170318034006"
1498,"170312502001,170311911003,170312503001,170311912001,170311912002,170311911005"
1499,"170318205012,170318205014,170318205021,170318209011,170318205023"
1500,"170316720002,170316720004,170316715002"
1501,"170315611004,170315608002,170315608004,170318208003,170315611005"
1502,"170315002002,170315001001,170315001002,170315103002,170315103003,170314701002,170318388002,170314905001,170314908001,170314909024,170315002001"
1503,"170315002002,170314908001,170314909021,170314909024,170315001004"
1504,"170314914001,170315003001,170315003002,170314909021,170318388002,170314909011,170315001004,170315002001"
1505,"170315002002,170315401021,170315003002,170318388002"
1506,"170314805002,170315102001,170315202003,170315101002,170315201001,170314610001"
1507,"170315805023,170315804001,170315804002,170318428003,170315805022"
1508,"170315805013,170315802002,170315803001,170315804001,170315805014"
1509,"170315805012,170315802002,170315806002,170315805014,170315807002,170315801002"
1510,"170315807003,170315806001,170315805023,170315806003,170315807002,170315805012"
1511,"170315807003,170315806002,170315805023,170315806004,170315805022,170315807002,170315805012"
1512,"170316103003,170315807003,170318428001,170315808001,170315806004,170315807002"
1513,"170318428001,170318428005,170315806004,170318428004,170315805022"
1514,"170315806004,170318428002,170318428006,170315805022,170318428004"
1515,"170315805021,170315804002,170315804003,170318428006,170318428004,170315805022"
1516,"170315701001,170318428001,170318428002,170315704002,170315804003,170318428003,170316201001,170316115002,170316303002,170318428005,170316306001,170316306002,170315808001,170318428006"
1517,"170318369001,170318367002,170318368001,170318367001,170318371001,170318369002,170312705001,170312315005"
1518,"170318369001,170318371001,170312705001,170318368001,170312712001,170312713001,170318368002,170312714001"
1519,"170314306002,170314302002,170314307002,170314301022,170314301012,170314301021,170314305001"
1520,"170314308001,170314313021,170314309001,170314307002,170314305001,170314306001"
1521,"170314306002,170314313021,170314309001,170314308002,170314307002,170314305001,170314309002"
1522,"170314308001,170314313021,170314309001,170314313022,170318342002,170314309002,170314312002"
1523,"170314304003,170314304004,170314305002,170314305003,170314309002,170314305001,170314306002,170314308001,170314308002,170314304002"
1524,"170314312001,170318342002,170318342003,170314605007,170314312002"
1525,"170318342004,170318342002,170318342001,170318343002,170318343006,170314605007,170314503001"
1526,"170315101001,170314805002,170315102002,170315103001,170315101002,170315102003"
1527,"170315103001,170315103004,170315102003,170315102001"
1528,"170315103002,170314805002,170315102001,170315102002,170315103004,170314804003"
1529,"170315103002,170315102002,170315103001,170315103003,170315102003,170318388002"
1530,"170318404001,170318403002,170315907001,170315905001,170315907002,170315906001"
1531,"170315905001,170318413004,170315906001,170318413002,170318432002,170318404001,170318404002,170318403003,170318403001"
1532,"170315905001,170318403002,170318403001"
1533,"170316103003,170315905001,170318413004,170315801001,170315801002,170318435001,170318413002,170318403002,170318403003,170315807002"
1534,"170318373002,170312713001,170312705001,170318369002,170312715001"
1535,"170318430001,170318373002,170312714001,170312705001,170312713001"
