skater_90,n_bgs,share_of_all
0,20,0.005425935973955507
1,30,0.008138903960933261
2,36,0.009766684753119913
3,11,0.002984264785675529
4,507,0.13754747693977212
5,254,0.06890938686923494
6,26,0.00705371676614216
7,22,0.005968529571351058
8,17,0.004612045577862181
9,74,0.020075963103635377
10,303,0.08220293000542593
11,24,0.0065111231687466084
12,45,0.012208355941399891
13,62,0.016820401519262073
14,76,0.020618556701030927
15,22,0.005968529571351058
16,53,0.014378730330982095
17,38,0.010309278350515464
18,44,0.011937059142702116
19,43,0.01166576234400434
20,161,0.043678784590341836
21,79,0.021432447097124253
22,17,0.004612045577862181
23,34,0.009224091155724362
24,47,0.012750949538795442
25,41,0.01112316874660879
26,120,0.032555615843733045
27,46,0.012479652740097666
28,17,0.004612045577862181
29,73,0.0198046663049376
30,13,0.00352685838307108
31,93,0.025230602278893108
32,10,0.0027129679869777536
33,44,0.011937059142702116
34,19,0.005154639175257732
35,33,0.008952794357026587
36,14,0.0037981551817688553
37,36,0.009766684753119913
38,85,0.023060227889310905
39,23,0.006239826370048833
40,15,0.004069451980466631
41,40,0.010851871947911014
42,15,0.004069451980466631
43,19,0.005154639175257732
44,26,0.00705371676614216
45,25,0.006782419967444384
46,25,0.006782419967444384
47,12,0.0032555615843733042
48,10,0.0027129679869777536
49,14,0.0037981551817688553
50,12,0.0032555615843733042
51,24,0.0065111231687466084
52,10,0.0027129679869777536
53,12,0.0032555615843733042
54,28,0.007596310363537711
55,14,0.0037981551817688553
56,56,0.015192620727075421
57,16,0.004340748779164406
58,14,0.0037981551817688553
59,12,0.0032555615843733042
60,14,0.0037981551817688553
61,11,0.002984264785675529
62,13,0.00352685838307108
63,11,0.002984264785675529
64,19,0.005154639175257732
65,26,0.00705371676614216
66,22,0.005968529571351058
67,32,0.008681497558328812
68,78,0.021161150298426478
69,12,0.0032555615843733042
70,12,0.0032555615843733042
71,17,0.004612045577862181
72,19,0.005154639175257732
73,14,0.0037981551817688553
74,54,0.01465002712967987
75,12,0.0032555615843733042
76,24,0.0065111231687466084
77,13,0.00352685838307108
78,11,0.002984264785675529
79,13,0.00352685838307108
80,19,0.005154639175257732
81,19,0.005154639175257732
82,11,0.002984264785675529
83,23,0.006239826370048833
84,12,0.0032555615843733042
85,15,0.004069451980466631
86,15,0.004069451980466631
87,11,0.002984264785675529
88,10,0.0027129679869777536
89,13,0.00352685838307108
