GEOID,total_pop,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,median_hh_income,poverty_rate,pct_ba_plus,unemployment_rate,pct_owner,pct_renter
170310101001,640,42.5,15.78125,0.0,30.46875,125366.0,13.28125,47.592592592592595,2.6578073089700998,57.3943661971831,42.6056338028169
170310101002,2286,34.29571303587052,55.59930008748907,0.0,9.930008748906387,22190.0,43.788276465441825,39.24611973392461,4.181818181818182,18.08712121212121,81.91287878787878
170310101003,1718,58.14901047729919,14.668218859138532,5.296856810244471,16.41443538998836,60033.0,10.321384425216316,60.45161290322581,3.4250764525993884,40.16172506738545,59.83827493261455
170310102011,1761,25.15616127200454,38.27370812038615,7.495741056218058,19.591141396933562,36667.0,28.16581487791028,40.74074074074074,6.864686468646865,50.116822429906534,49.88317757009346
170310102012,1918,26.485922836287802,30.396246089676747,3.076120959332638,25.96454640250261,50739.0,40.14598540145985,36.23693379790941,0.0,18.51851851851852,81.48148148148148
170310102013,2188,34.643510054844604,34.552102376599635,6.489945155393053,19.972577696526507,38082.0,33.59232175502742,19.45288753799392,1.440922190201729,14.36241610738255,85.63758389261746
170310102014,1621,33.37446020974707,31.276989512646512,4.626773596545342,28.932757557063542,65735.0,12.38332296204107,43.600682593856654,0.8797653958944283,23.031203566121842,76.96879643387817
170310102021,1561,31.838565022421523,26.45739910313901,5.829596412556054,31.64638052530429,31576.0,22.16131558339859,25.041736227045075,2.212051868802441,19.761499148211243,80.23850085178876
170310102022,1593,25.98870056497175,38.35530445699937,6.716886377903326,20.966729441305713,61833.0,12.080103359173126,49.69574036511156,6.755695208169678,28.523489932885905,71.47651006711409
170310103001,921,71.00977198697068,23.12703583061889,3.8002171552660156,1.0857763300760044,44069.0,22.696011004126547,53.387850467289724,0.2288329519450801,52.05761316872428,47.94238683127572
170310103002,2675,34.50467289719626,41.53271028037383,0.0,22.39252336448598,61736.0,6.514657980456026,38.295788442703234,4.104318084651561,29.38196555217832,70.61803444782169
170310103003,1385,67.36462093862816,19.27797833935018,1.1552346570397112,2.0216606498194944,37317.0,14.249146757679181,37.738853503184714,0.76103500761035,21.852731591448933,78.14726840855107
170310103004,1154,46.18717504332756,17.417677642980937,8.405545927209705,24.783362218370883,53485.0,13.286713286713287,57.97392176529589,1.1267605633802817,41.388888888888886,58.611111111111114
170310104001,993,65.35750251762337,23.564954682779458,3.0211480362537766,6.948640483383686,50293.0,25.981873111782477,55.81395348837209,0.0,18.56,81.44
170310104002,1147,61.63905841325196,30.51438535309503,0.0,6.2772449869224065,44412.0,10.897994768962512,72.18543046357617,1.948051948051948,38.349514563106794,61.6504854368932
170310104003,3053,70.75008188666885,12.479528332787423,6.518178840484769,8.843760235833606,,27.105978260869566,52.579185520361996,3.9085789996687645,15.139031925849638,84.86096807415035
170310105011,921,38.327904451682954,34.74484256243214,8.686210640608035,15.526601520086864,32422.0,11.943539630836048,53.19767441860465,4.8697621744054365,12.727272727272727,87.27272727272727
170310105012,1689,30.550621669627,57.13439905269391,6.394316163410302,4.8549437537004145,46979.0,9.67359050445104,54.935945742275806,6.163434903047092,7.936507936507936,92.06349206349206
170310105013,1429,78.7963610916725,5.948215535339398,4.688593421973408,5.8782365290412875,39360.0,17.35479356193142,62.35906331309627,2.963590177815411,11.960542540073984,88.03945745992601
170310105021,1080,53.70370370370371,13.703703703703704,6.7592592592592595,23.055555555555557,44018.0,38.19444444444444,61.294964028776974,4.371002132196162,23.597678916827853,76.40232108317214
170310105022,1880,50.744680851063826,25.585106382978722,9.52127659574468,11.48936170212766,36613.0,28.617021276595743,60.34632034632035,1.033434650455927,21.471774193548388,78.52822580645162
170310105031,1251,66.10711430855316,9.03277378097522,15.347721822541965,0.7194244604316548,14050.0,60.75139888089528,32.89646133682831,1.3733905579399142,14.450867052023122,85.54913294797689
170310105032,722,72.57617728531855,16.62049861495845,1.5235457063711912,9.279778393351801,22847.0,58.310249307479225,40.0,3.2305433186490458,14.48087431693989,85.51912568306011
170310106001,1889,38.274219163578614,31.07464266807835,3.970354685018528,24.986765484383273,67500.0,12.652196929592376,62.94642857142857,1.3563501849568433,30.44496487119438,69.55503512880561
170310106002,923,69.77248104008667,9.642470205850486,3.683640303358613,0.3250270855904659,143292.0,6.132665832290362,45.35073409461664,0.0,90.39735099337747,9.602649006622517
170310106003,2410,57.42738589211618,22.074688796680498,3.9834024896265556,9.87551867219917,51165.0,18.90192791282481,63.091715976331365,2.9473684210526314,26.16279069767442,73.83720930232558
170310106004,1141,59.42156003505696,10.692375109553023,7.624890446976336,18.492550394390886,43323.0,25.503943908851884,56.01577909270217,0.0,4.7976011994003,95.2023988005997
170310107011,1525,36.0,20.59016393442623,7.016393442622951,35.73770491803279,32422.0,20.655737704918035,31.265508684863523,3.2306536438767846,31.74846625766871,68.25153374233128
170310107012,2037,47.47177221404025,23.907707412862052,8.100147275405007,18.900343642611684,67639.0,10.014727540500736,48.02547770700637,3.140096618357488,56.53710247349824,43.46289752650176
170310107021,1869,20.117710005350457,40.77046548956662,3.9058319957196366,32.20973782771536,48750.0,24.398073836276083,31.513903192584962,0.0,22.14765100671141,77.85234899328859
170310107022,1198,28.130217028380635,11.352253756260435,0.9181969949916527,58.68113522537563,46317.0,9.288702928870293,47.74774774774775,16.95364238410596,12.437810945273633,87.56218905472637
170310107023,1324,35.87613293051359,26.888217522658607,15.861027190332328,16.993957703927492,49583.0,20.619335347432024,63.954802259887,0.0,24.647887323943664,75.35211267605634
